iso2,BE,DK,FR,DE,IS,IE,NL,NO,PT,ES,SE,GB,AO,BJ,CM,CV,CD,GQ,GA,GM,GH,GN,GW,CI,LR,MR,MA,NA,NG,CG,ST,SN,SL,ZA,TG,AR,BR,CL,CO,GF,GY,SR,UY,VE,BS,BB,CU,DM,DO,HT,JM,KN,LC,TT,BZ,CA,CR,GT,HN,MX,NI,PA,US
SE,1420.62972957,745.932209131,1899.8706149,1257.13149387,1689.40675434,1693.40471453,1254.19659208,358.743202403,2878.69258487,2738.50819568,0.0,1414.64421347,8274.20956851,5822.57480627,6336.48448393,6054.76312908,7258.42619421,6736.11410952,6975.01267984,5929.76171113,6166.05885111,6118.73427603,6047.6848098,6288.8362817,6490.14338833,5047.93462219,3590.04518234,9368.47799385,5864.06585229,6909.42005225,6919.14417658,5747.75550561,6344.74166546,10328.9206734,6035.48657334,12979.2007119,9986.9707586,12034.303284,9549.06146703,8525.80028958,8729.53600698,8639.68782596,12311.3528108,8871.70385114,7782.0082688,7937.6261934,8092.43372087,7804.52777002,7950.18695453,8018.30205269,8374.60035635,7697.06156456,7938.06682751,8288.33499913,9033.06663612,5751.25001838,9515.18070974,9315.2161365,9184.06831791,9004.11143124,9287.54960949,9516.33420794,7276.54656928
GB,504.329768179,778.848049641,775.638053118,810.588520054,1619.39251871,438.332070112,484.023892805,1099.44613922,1494.94955274,1430.3344928,1414.64421347,0.0,7495.21696269,4740.5882068,5477.43777701,4644.98426363,6653.06703513,5829.18621876,6094.55147824,4568.64804933,5013.95624232,4811.4309223,4696.39046999,5063.06811955,5207.93154285,3721.0634608,2283.50294269,8559.636928,4910.25113055,6127.66609856,5927.02960268,4387.28649333,5032.00791361,9605.77476395,4926.38535879,11590.4917703,8611.44455583,10712.945721,8439.55008368,7203.08891461,7463.1025545,7340.72968568,10903.2849407,7700.45896031,6960.54557467,6733.28874057,7226.06231141,6640.617946,6949.08362391,7041.67788083,7464.50842043,6567.76845891,6756.37980627,7083.736937,8298.31588755,5990.25105079,8622.10403343,8588.77666729,8391.90234063,8604.78283539,8442.83213651,8559.5928429,7021.90563372
AO,7117.50601285,7648.10781817,6721.47631508,7097.64394362,9095.35371607,7688.94849076,7260.86725626,8213.12066204,6424.63676486,6243.13425573,8274.20956851,7495.21696269,0.0,3039.8764078,2025.85274206,5465.84654233,1246.2324648,1733.15257971,1449.29621476,4628.62331828,3064.24133663,4040.43786408,4476.48142167,3384.5822748,3677.61358105,4738.37636873,5588.9722235,1095.59661966,2651.01495587,1373.48538523,1840.99145645,4691.88283331,3990.54022068,2112.47594594,2971.8275077,8575.40149254,7682.84760274,9175.44977695,10178.4335186,8033.64071971,8674.48639322,8326.81324031,7752.74281385,9509.19692822,11139.2143581,8968.6533707,11055.5019549,9222.84115793,10283.8244982,10446.1856512,10947.2799858,9421.76627654,9137.50020136,9071.45670336,12113.6178561,13246.0204512,11489.5546726,12275.0186355,11891.9304151,13611.5889726,11661.883776,11129.8623086,13121.4488067
BJ,4468.66178799,5101.3081208,4010.18066155,4566.06418495,6251.31841258,4840.52126714,4631.3073909,5657.37926067,3472.42440356,3359.27788083,5822.57480627,4740.5882068,3039.8764078,0.0,1237.48193355,2875.96590323,2782.35478621,1332.4262501,1613.16901603,1970.46289812,495.625937319,1467.8863443,1876.59494415,939.576274,1401.76338324,1746.94987904,2607.55277712,3977.75743461,626.651822448,1905.22745143,1239.70975786,1947.36613636,1580.78452891,5080.54194671,246.581873329,8740.40740134,6590.15160265,8684.40007317,8359.11299601,6188.37401498,6799.26742278,6476.58573545,7854.04320251,7545.77903293,8577.83514411,6747.77767791,8593.7511578,6921.38189796,7885.35260245,8046.41745712,8586.99155108,7058.85692017,6892.99869705,6961.06049145,9785.24844055,10219.6374807,9429.71699427,10014.3122035,9649.44367605,11032.9157305,9492.50167357,9131.57278568,10202.488425
CM,5115.73737312,5675.25848927,4706.29138748,5123.10559638,7071.34375969,5663.37099237,5264.23960563,6243.04471426,4412.8720916,4219.65056393,6336.48448393,5477.43777701,2025.85274206,1237.48193355,0.0,4080.91807791,1547.77616028,439.974278922,639.423864059,3173.48603483,1523.89093086,2626.86933661,3061.66571777,1992.11366635,2434.59297509,2969.78805535,3595.82152645,3082.62808887,677.230615141,709.617713275,834.046869225,3168.67973135,2686.76638762,4137.60197031,1302.46822246,9221.03188333,7455.76962617,9403.65606816,9465.77886617,7268.92856049,7897.47139814,7563.33550877,8333.00890456,8675.19999572,9810.24644716,7923.01415967,9817.45479644,8113.08593013,9098.32633843,9260.38376816,9798.4855257,8261.80682639,8074.10104808,8115.91585586,10998.9007987,11252.5678924,10598.9543832,11220.4588929,10850.6845453,12269.7995295,10681.3132265,10286.1206138,11410.0798293
CV,4703.35432198,5349.60387843,4265.67763362,5001.31105721,5545.70813391,4454.50225735,4854.67090817,5743.43628278,3190.13271724,3406.16023569,6054.76312908,4644.98426363,5465.84654233,2875.96590323,4080.91807791,0.0,5579.91813537,4036.37159183,4270.85853248,907.829652049,2568.90749611,1470.77877414,1025.61657702,2138.07016795,1789.33146494,1523.75388904,2667.98431318,6083.36435495,3501.54226923,4671.59228568,3717.23546381,940.953547263,1479.17864131,7130.77275058,2778.50038311,7121.21455783,4339.09462336,6570.6423665,5555.17352494,3473.27693653,4033.1763183,3739.63058724,6345.37825221,4721.32105409,5756.90133829,3880.20287318,5742.21036028,4045.8370895,5017.410949,5179.51890641,5717.68858391,4184.06060644,4021.41122492,4111.19403167,6917.99108976,8345.04553648,6560.39621587,7141.66426031,6774.72471949,8239.00213531,6616.74582888,6272.28809166,7678.97215932
CD,6227.01598716,6689.99259069,5881.06456257,6151.34527591,8272.45946095,6908.53583465,6355.22369055,7242.23553006,5790.39951531,5546.06695245,7258.42619421,6653.06703513,1246.2324648,2782.35478621,1547.77616028,5579.91813537,0.0,1547.82517052,1343.52008972,4678.99036318,3012.61992417,4110.28344768,4554.35314152,3448.62134114,3851.59640437,4517.13657547,5028.65798798,2253.72499107,2213.75895174,909.186913415,1925.18238405,4690.3221573,4135.01823976,3082.05700786,2822.09649181,9726.50465523,8509.85987142,10206.5990217,10787.1663955,8587.73052722,9228.97448635,8885.17480595,8878.81548444,10038.5900605,11332.4836581,9357.32960608,11320.6765909,9569.77431448,10584.0208311,10747.2124955,11278.9236642,9734.6715923,9515.64107289,9520.31135099,12478.5242963,12599.0005515,12003.0552576,12684.6529543,12307.7948735,13804.4235398,12117.5818677,11669.565109,12943.2442412
GQ,5486.24790762,6062.45588627,5063.87072344,5510.9740556,7406.36935907,5992.73113906,5638.37376479,6630.17954052,4697.50775779,4530.16850103,6736.11410952,5829.18621876,1733.15257971,1332.4262501,439.974278922,4036.37159183,1547.82517052,0.0,284.776496134,3139.96168667,1476.97516998,2565.67085186,3010.95490524,1901.54194612,2306.13107877,3071.93489338,3856.67046956,2742.05268813,927.414905106,639.31296806,457.145941749,3161.49455007,2587.25088216,3822.99083114,1314.17816695,8827.43086169,7171.4204502,9062.08584139,9292.0065761,7089.24423998,7725.80561887,7385.88423379,7942.20463429,8522.55582779,9792.65817532,7815.91869708,9774.29230236,8024.01373622,9036.20483115,9199.40813739,9731.21346775,8187.15972824,7972.68148267,7987.78760726,10931.0256933,11513.0042928,10473.6280029,11139.0813039,10763.3085525,12271.4915697,10577.8930134,10147.6691471,11525.1152841
GA,5743.38773485,6310.30229681,5326.66718337,5758.27103341,7677.79773335,6265.36233701,5893.71785138,6878.16964852,4978.46747987,4806.7029738,6975.01267984,6094.55147824,1449.29621476,1613.16901603,639.423864059,4270.85853248,1343.52008972,284.776496134,0.0,3381.78967614,1728.87951138,2801.26647728,3247.51775442,2132.80241194,2516.98488993,3347.44727544,4139.81953639,2469.00815224,1205.36308668,470.110145171,582.0077781,3411.57590122,2807.94077318,3544.1010087,1582.75395194,8800.29323858,7262.27805619,9096.92175813,9453.86708627,7252.07559892,7891.90156877,7549.36249163,7920.67096037,8697.71300568,10027.0455222,8015.54215641,9998.8826736,8231.63081179,9254.02659294,9417.48013494,9945.8520581,8400.8943908,8174.70925406,8176.79177061,11143.6604594,11797.2328388,10659.788288,11345.3756515,10967.4430865,12509.8420475,10774.7574364,10327.5619397,11796.2707237
GM,4519.71595499,5192.1806113,4049.72787171,4767.55474273,5716.85179973,4468.16056701,4682.56650472,5654.97517597,3074.02051859,3193.29077835,5929.76171113,4568.64804933,4628.62331828,1970.46289812,3173.48603483,907.829652049,4678.99036318,3139.96168667,3381.78967614,0.0,1666.37179138,588.856261222,167.989581475,1255.40423673,980.771864496,929.327565717,2356.07575683,5324.90468113,2596.79921064,3772.10854666,2840.53022563,182.00620997,671.422522969,6402.53208823,1871.01802502,7550.85204934,4961.08183268,7171.43870283,6422.3707252,4291.80153068,4878.97821987,4570.20951866,6720.0611615,5596.96630802,6653.92057534,4778.83271476,6646.85140025,4951.14811072,5924.92911459,6086.91861562,6625.3928891,5091.6539521,4922.93077202,4999.35071879,7825.57009787,8965.93021223,7460.62864175,8049.46387674,7682.22570644,9131.54664941,7522.32348223,7166.70792034,8493.89685068
