year	source	target	sourceTarget	value	valueSource	valueTarget	distance	sameCurrency	sameLanguage	sourceGeo	targetGeo	sourceHDI	targetHDI	sourcePopulation	targetPopulation
1990	FR	GQ	FR-GQ	1154	8.30271447233e-05	0.0104604247971	5063.87072344	0	1	46.565,2.55	1.607,10.488	0.893	0.554	60990544	484098
1990	FR	CL	FR-CL	2147	0.000174015740217	0.000651319314258	10613.3146604	0	0	46.565,2.55	-23.389,-69.433	0.893	0.819	60990544	16295102
1990	FR	CA	FR-CA	55003	0.000110628282097	0.000209085004672	6747.27910687	0	1	46.565,2.55	59.081,-109.433	0.893	0.911	60990544	32270507
1990	FR	CG	FR-CG	8574	8.77659633172e-05	0.00148285728342	5352.8938474	0	1	46.565,2.55	-0.055,15.986	0.893	0.534	60990544	3609851
1990	FR	ZA	FR-ZA	2364	0.000144797155325	0.000184219932728	8831.25727293	0	0	46.565,2.55	-30.558,23.121	0.893	0.629	60990544	47938663
1990	FR	HT	FR-HT	445	0.000120306166844	0.00078929742651	7337.53856239	0	1	46.565,2.55	19.142,-72.278	0.893	0.456	60990544	9296291
1990	FR	AR	FR-AR	6463	0.000186162666545	0.000293032207302	11354.1623051	0	0	46.565,2.55	-35.377,-65.167	0.893	0.811	60990544	38747148
1990	FR	GB	FR-GB	53814	1.27173493176e-05	1.28747645502e-05	775.638053118	0	0	46.565,2.55	53,-1.6	0.893	0.875	60990544	60244834
1990	FR	GA	FR-GA	4949	8.73359513463e-05	0.00412698231366	5326.66718337	0	1	46.565,2.55	-0.591,11.797	0.893	0.683	60990544	1290693
1990	FR	GN	FR-GN	1561	6.91785010063e-05	0.000468665514875	4219.23440948	0	1	46.565,2.55	10.439,-10.942	0.893	0.355	60990544	9002656
1990	FR	IE	FR-IE	1917	1.74053024084e-05	0.000256211329046	1061.55886237	1	0	46.565,2.55	53.177,-8.152	0.893	0.916	60990544	4143294
1990	FR	CV	FR-CV	102	6.99399833787e-05	0.00841676936905	4265.67763362	0	0	46.565,2.55	15.071,-23.634	0.893	0.586	60990544	506807
1990	FR	ES	FR-ES	101098	1.41818390324e-05	1.99310618558e-05	864.958077508	1	0	46.565,2.55	40.227,-3.649	0.893	0.885	60990544	43397491
1990	FR	GH	FR-GH	117	7.07064596692e-05	0.00191365588013	4312.42543954	0	0	46.565,2.55	7.96,-1.207	0.893	0.558	60990544	2253501
1990	FR	MA	FR-MA	5628	2.78224394447e-05	5.56453916363e-05	1696.90571714	0	0	46.565,2.55	32.706,-5.758	0.893	0.591	60990544	30494991
1990	FR	SR	FR-SR	1436	0.000119979923658	0.0161727256137	7317.64081297	0	0	46.565,2.55	4.127,-55.912	0.893	0.684	60990544	452468
1990	FR	KN	FR-KN	3	0.000110659174502	0.137351199712	6749.16325144	0	0	46.565,2.55	17.34,-62.769	0.893	0.745	60990544	49138
1990	FR	US	FR-US	137225	0.000125686025528	2.55652821493e-05	7665.65907015	0	0	46.565,2.55	39.622,-98.606	0.893	0.937	60990544	299846449
1990	FR	ST	FR-ST	113	8.48745877687e-05	0.0339174383758	5176.54727979	0	0	46.565,2.55	0.201,6.629	0.893	0.525	60990544	152622
1990	FR	SN	FR-SN	11453	6.34210778769e-05	0.00328629932592	3868.08604078	0	1	46.565,2.55	15.013,-14.881	0.893	0.47	60990544	1177034
1990	FR	MR	FR-MR	1427	5.17109943884e-05	0.00106438404259	3153.88167853	0	0	46.565,2.55	20.26,-10.332	0.893	0.467	60990544	2963105
1990	FR	MX	FR-MX	4897	0.000150500735961	8.80352871392e-05	9179.12175869	0	0	46.565,2.55	23.951,-102.535	0.893	0.775	60990544	104266392
1990	FR	SE	FR-SE	4401	3.11502487156e-05	0.000210208045442	1899.8706149	0	0	46.565,2.55	62.011,15.27	0.893	0.916	60990544	9038049
1990	DM	DO	DM-DO	24	0.0157946157201	0.000113130574398	1071.30140045	0	0	15.475,-61.356	19.015,-70.729	0.745	0.702	67827	9469601
1990	DM	FR	DM-FR	744	0.100073377534	0.000111290644957	6787.67697803	0	0	15.475,-61.356	46.565,2.55	0.745	0.893	67827	60990544
1990	DM	DK	DM-DK	4	0.10902194571	0.00136509259585	7394.63151165	0	0	15.475,-61.356	56.058,9.264	0.745	0.901	67827	5416945
1990	DM	BB	DM-BB	402	0.00476323342737	0.00110667801748	323.075833678	0	1	15.475,-61.356	13.153,-59.559	0.745	0.825	67827	291933
1990	DM	JM	DM-JM	107	0.0254526109399	0.000643576586428	1726.37424222	0	1	15.475,-61.356	18.151,-77.32	0.745	0.73	67827	2682469
1990	DM	BS	DM-BS	35	0.0297107719181	0.00623329320556	2015.19252689	0	1	15.475,-61.356	24.628,-78.014	0.745	0.794	67827	323295
1990	DM	NI	DM-NI	2	0.0379078656895	0.000470692622262	2571.17680612	0	0	15.475,-61.356	12.84,-85.034	0.745	0.599	67827	5462539
1990	DM	NL	DM-NL	34	0.104413180022	0.0043374370541	7082.03276138	0	0	15.475,-61.356	52.077,5.389	0.745	0.921	67827	1632769
1990	DM	LC	DM-LC	96	0.00266013478088	0.0111900869377	180.428961783	1	1	15.475,-61.356	13.898,-60.969	0.745	0.725	67827	16124
1990	DM	PT	DM-PT	1	0.0857995440077	0.000552754630401	5819.52567141	0	0	15.475,-61.356	40.309,-8.058	0.745	0.816	67827	10528226
1990	DM	NO	DM-NO	5	0.109831289838	0.00160590434666	7449.52689586	0	0	15.475,-61.356	61.152,8.74	0.745	0.955	67827	4638836
