year	source	target	sourceTarget	value	valueSource	valueTarget	distance	sameCurrency	sameLanguage	sourceGeo	targetGeo	sourceHDI	targetHDI	sourcePopulation	targetPopulation
1990	JM	CU	JM-CU	656	0.000131791263936	3.13968883379e-05	353.52597998	0	0	18.151,-77.32	21.297,-77.781	0.697545454545	0.740818181818	2682469	11259905
1990	JM	US	JM-US	384560	0.0011734518582	1.04978673021e-05	3147.74823262	0	1	18.151,-77.32	39.622,-98.606	0.697545454545	0.915818181818	2682469	299846449
1990	JM	MX	JM-MX	117	0.00100419197648	2.58349195296e-05	2693.71384696	0	0	18.151,-77.32	23.951,-102.535	0.697545454545	0.734181818182	2682469	104266392
1990	BR	DO	BR-DO	950	2.0551307192e-05	0.000405467592681	3839.61632112	0	0	-10.772,-53.089	19.015,-70.729	0.683	0.659636363636	186830759	9469601
1990	BR	FR	BR-FR	20435	4.51575635253e-05	0.000138329998631	8436.82186802	0	0	-10.772,-53.089	46.565,2.55	0.683	0.86	186830759	60990544
1990	BR	DE	BR-DE	11446	4.89983076134e-05	0.000110757756999	9154.39100112	0	0	-10.772,-53.089	51.11,9.851	0.683	0.882	186830759	82652369
1990	BR	NL	BR-NL	3850	4.78540847208e-05	0.00547573782307	8940.61496964	0	0	-10.772,-53.089	52.077,5.389	0.683	0.894272727273	186830759	1632769
1990	BR	PT	BR-PT	23721	3.92581682353e-05	0.000696663746423	7334.63336835	0	1	-10.772,-53.089	40.309,-8.058	0.683	0.783181818182	186830759	10528226
1990	BR	CU	BR-CU	88	2.39563626617e-05	0.000397497618227	4475.78541896	0	0	-10.772,-53.089	21.297,-77.781	0.683	0.740818181818	186830759	11259905
1990	BR	CO	BR-CO	1728	1.47291023329e-05	0.000612259650626	2751.84936825	0	0	-10.772,-53.089	3.9,-73.076	0.683	0.677	186830759	4494579
1990	BR	VE	BR-VE	4323	1.31857720147e-05	9.21779223783e-05	2463.50779351	0	0	-10.772,-53.089	7.125,-66.166	0.683	0.704727272727	186830759	26725573
1990	BR	CA	BR-CA	7303	4.95386740979e-05	0.000286805164901	9255.34808156	0	0	-10.772,-53.089	59.081,-109.433	0.683	0.895090909091	186830759	32270507
1990	BR	ZA	BR-ZA	842	4.33422895368e-05	0.000168917369493	8097.67285095	0	0	-10.772,-53.089	-30.558,23.121	0.683	0.612363636364	186830759	47938663
1990	BR	AR	BR-AR	34359	1.60526362673e-05	7.74025024441e-05	2999.12621777	0	0	-10.772,-53.089	-35.377,-65.167	0.683	0.771545454545	186830759	38747148
1990	BR	GB	BR-GB	1510	4.60922205847e-05	0.000142940796481	8611.44455583	0	0	-10.772,-53.089	53,-1.6	0.683	0.848636363636	186830759	60244834
1990	BR	ES	BR-ES	13587	4.07959628313e-05	0.000175630906863	7621.94069991	0	0	-10.772,-53.089	40.227,-3.649	0.683	0.847454545455	186830759	43397491
1990	BR	US	BR-US	94936	3.91644398242e-05	2.44028970247e-05	7317.12201817	0	0	-10.772,-53.089	39.622,-98.606	0.683	0.915818181818	186830759	299846449
1990	BR	MX	BR-MX	1695	3.54400926381e-05	6.35036782189e-05	6621.29940661	0	0	-10.772,-53.089	23.951,-102.535	0.683	0.734181818182	186830759	104266392
1990	NL	DO	NL-DO	578	0.00454374775691	0.000783442774548	7418.8904813	0	0	52.077,5.389	19.015,-70.729	0.894272727273	0.659636363636	1632769	9469601
1990	NL	FR	NL-FR	34420	0.00039633137696	1.06101297609e-05	647.117586028	1	0	52.077,5.389	46.565,2.55	0.894272727273	0.86	1632769	60990544
1990	NL	DE	NL-DE	116092	0.000200117127209	3.95324472401e-06	326.745041676	1	0	52.077,5.389	51.11,9.851	0.894272727273	0.882	1632769	82652369
1990	NL	BR	NL-BR	3535	0.00547573782307	4.78540847208e-05	8940.61496964	0	0	52.077,5.389	-10.772,-53.089	0.894272727273	0.683	1632769	186830759
1990	NL	PT	NL-PT	1823	0.00101954466576	0.000158115994506	1664.68092437	1	0	52.077,5.389	40.309,-8.058	0.894272727273	0.783181818182	1632769	10528226
1990	NL	CU	NL-CU	47	0.00472002985858	0.000684439027875	7706.71843216	0	0	52.077,5.389	21.297,-77.781	0.894272727273	0.740818181818	1632769	11259905
1990	NL	CO	NL-CO	425	0.00544387272369	0.00197762384935	8888.58662318	0	0	52.077,5.389	3.9,-73.076	0.894272727273	0.677	1632769	4494579
1990	NL	VE	NL-VE	649	0.00498344648342	0.000304458090807	8136.81693129	0	0	52.077,5.389	7.125,-66.166	0.894272727273	0.704727272727	1632769	26725573
1990	NL	CA	NL-CA	129238	0.00388836387524	0.00019673691511	6348.79999621	0	0	52.077,5.389	59.081,-109.433	0.894272727273	0.895090909091	1632769	32270507
1990	NL	ZA	NL-ZA	10959	0.00573280247336	0.000195256637876	9360.34216163	0	0	52.077,5.389	-30.558,23.121	0.894272727273	0.612363636364	1632769	47938663
1990	NL	AR	NL-AR	943	0.00728492667205	0.000306980075989	11894.6024374	0	0	52.077,5.389	-35.377,-65.167	0.894272727273	0.771545454545	1632769	38747148
1990	NL	GB	NL-GB	29646	0.000296443583143	8.03428046304e-06	484.023892805	0	0	52.077,5.389	53,-1.6	0.894272727273	0.848636363636	1632769	60244834
1990	NL	ES	NL-ES	14050	0.000912126800693	3.43174761933e-05	1489.29236424	1	0	52.077,5.389	40.227,-3.649	0.894272727273	0.847454545455	1632769	43397491
1990	NL	US	NL-US	110714	0.00457711808185	2.49240120679e-05	7473.37651338	0	0	52.077,5.389	39.622,-98.606	0.894272727273	0.915818181818	1632769	299846449
1990	NL	MX	NL-MX	643	0.00555826037643	8.70400813003e-05	9075.35523657	0	0	52.077,5.389	23.951,-102.535	0.894272727273	0.734181818182	1632769	104266392
1990	PT	DO	PT-DO	160	0.0006047604079	0.000672367742867	6367.05425022	0	0	40.309,-8.058	19.015,-70.729	0.783181818182	0.659636363636	10528226	9469601
1990	PT	FR	PT-FR	781382	0.000104763856252	1.80844026453e-05	1102.97755525	1	0	40.309,-8.058	46.565,2.55	0.783181818182	0.86	10528226	60990544
1990	PT	DE	PT-DE	92782	0.000173892382547	2.21503427582e-05	1830.77830313	1	0	40.309,-8.058	51.11,9.851	0.783181818182	0.882	10528226	82652369
1990	PT	BR	PT-BR	274924	0.000696663746423	3.92581682353e-05	7334.63336835	0	1	40.309,-8.058	-10.772,-53.089	0.783181818182	0.683	10528226	186830759
1990	PT	NL	PT-NL	7876	0.000158115994506	0.00101954466576	1664.68092437	1	0	40.309,-8.058	52.077,5.389	0.783181818182	0.894272727273	10528226	1632769
1990	PT	CU	PT-CU	34	0.000647486218923	0.000605411967926	6816.88124471	0	0	40.309,-8.058	21.297,-77.781	0.783181818182	0.740818181818	10528226	11259905
1990	PT	CA	PT-CA	160705	0.000649892655903	0.000212026937076	6842.21675709	0	0	40.309,-8.058	59.081,-109.433	0.783181818182	0.895090909091	10528226	32270507
1990	PT	CO	PT-CO	133	0.000725054654816	0.00169838805108	7633.53926825	0	0	40.309,-8.058	3.9,-73.076	0.783181818182	0.677	10528226	4494579
1990	PT	VE	PT-VE	71583	0.000648300884124	0.000255390528916	6825.45822406	0	0	40.309,-8.058	7.125,-66.166	0.783181818182	0.704727272727	10528226	26725573
1990	PT	ZA	PT-ZA	20495	0.000809200778271	0.000177715608652	8519.44867301	0	0	40.309,-8.058	-30.558,23.121	0.783181818182	0.612363636364	10528226	47938663
1990	PT	AR	PT-AR	13551	0.000973959503301	0.000264640529558	10254.0657656	0	0	40.309,-8.058	-35.377,-65.167	0.783181818182	0.771545454545	10528226	38747148
1990	PT	GB	PT-GB	19912	0.000141994439779	2.48145683784e-05	1494.94955274	0	0	40.309,-8.058	53,-1.6	0.783181818182	0.848636363636	10528226	60244834
1990	PT	ES	PT-ES	36264	3.55779979422e-05	8.63121794214e-06	374.573202963	1	0	40.309,-8.058	40.227,-3.649	0.783181818182	0.847454545455	10528226	43397491
1990	PT	US	PT-US	241828	0.000697718885142	2.4498346176e-05	7345.74210724	0	0	40.309,-8.058	39.622,-98.606	0.783181818182	0.915818181818	10528226	299846449
1990	PT	MX	PT-MX	164	0.000824538833066	8.32572319209e-05	8680.9311803	0	0	40.309,-8.058	23.951,-102.535	0.783181818182	0.734181818182	10528226	104266392
1990	NG	DO	NG-DO	42	6.01804907071e-05	0.000898335467288	8506.87843937	0	0	9.594,8.105	19.015,-70.729	0.4545	0.659636363636	141356083	9469601
1990	NG	FR	NG-FR	2710	2.93530976142e-05	6.80308557776e-05	4149.23890266	0	0	9.594,8.105	46.565,2.55	0.4545	0.86	141356083	60990544
1990	NG	NL	NG-NL	1421	3.35012905573e-05	0.00290035590376	4735.61120863	0	0	9.594,8.105	52.077,5.389	0.4545	0.894272727273	141356083	1632769
1990	NG	PT	NG-PT	43	2.66977286758e-05	0.000358454154633	3773.88635061	0	0	9.594,8.105	40.309,-8.058	0.4545	0.783181818182	141356083	10528226
1990	NG	CU	NG-CU	11	6.5155565416e-05	0.000817958545197	9210.13551286	0	0	9.594,8.105	21.297,-77.781	0.4545	0.740818181818	141356083	11259905
1990	NG	DE	NG-DE	13230	3.27138729339e-05	5.59488493028e-05	4624.3049377	0	0	9.594,8.105	51.11,9.851	0.4545	0.882	141356083	82652369
1990	NG	CO	NG-CO	42	6.35269494002e-05	0.00199794479798	8979.92073215	0	0	9.594,8.105	3.9,-73.076	0.4545	0.677	141356083	4494579
1990	NG	VE	NG-VE	89	5.77931516568e-05	0.000305677769469	8169.41354243	0	0	9.594,8.105	7.125,-66.166	0.4545	0.704727272727	141356083	26725573
1990	NG	CA	NG-CA	3121	7.49993300897e-05	0.000328523240403	10601.6115291	0	1	9.594,8.105	59.081,-109.433	0.4545	0.895090909091	141356083	32270507
1990	NG	ZA	NG-ZA	8985	3.35981653016e-05	9.90704526536e-05	4749.30504302	0	1	9.594,8.105	-30.558,23.121	0.4545	0.612363636364	141356083	47938663
1990	NG	AR	NG-AR	93	6.4770105036e-05	0.000236292187063	9155.64834339	0	0	9.594,8.105	-35.377,-65.167	0.4545	0.771545454545	141356083	38747148
1990	NG	GB	NG-GB	47412	3.47367515167e-05	8.15049325316e-05	4910.25113055	0	1	9.594,8.105	53,-1.6	0.4545	0.848636363636	141356083	60244834
1990	NG	ES	NG-ES	711	2.54871186441e-05	8.30176854805e-05	3602.75925848	0	0	9.594,8.105	40.227,-3.649	0.4545	0.847454545455	141356083	43397491
1990	NG	US	NG-US	63702	7.59448497749e-05	3.58025466835e-05	10735.2664882	0	1	9.594,8.105	39.622,-98.606	0.4545	0.915818181818	141356083	299846449
1990	NG	MX	NG-MX	70	8.22761975295e-05	0.000111543525999	11630.2410069	0	0	9.594,8.105	23.951,-102.535	0.4545	0.734181818182	141356083	104266392
1990	CU	DO	CU-DO	6824	6.92178105586e-05	8.23039926601e-05	779.385971198	0	1	21.297,-77.781	19.015,-70.729	0.740818181818	0.659636363636	11259905	9469601
1990	CU	FR	CU-FR	2031	0.000674272649529	0.00012448234562	7592.24597779	0	0	21.297,-77.781	46.565,2.55	0.740818181818	0.86	11259905	60990544
1990	CU	DE	CU-DE	2734	0.000713097198292	9.71467219352e-05	8029.40670853	0	0	21.297,-77.781	51.11,9.851	0.740818181818	0.882	11259905	82652369
1990	CU	HT	CU-HT	1203	5.53131173124e-05	6.69966598713e-05	622.820446192	0	0	21.297,-77.781	19.142,-72.278	0.740818181818	0.425375	11259905	9296291
1990	CU	JM	CU-JM	1746	3.13968883379e-05	0.000131791263936	353.52597998	0	0	21.297,-77.781	18.151,-77.32	0.740818181818	0.697545454545	11259905	2682469
1990	CU	BR	CU-BR	442	0.000397497618227	2.39563626617e-05	4475.78541896	0	0	21.297,-77.781	-10.772,-53.089	0.740818181818	0.683	11259905	186830759
1990	CU	NL	CU-NL	315	0.000684439027875	0.00472002985858	7706.71843216	0	0	21.297,-77.781	52.077,5.389	0.740818181818	0.894272727273	11259905	1632769
1990	CU	PT	CU-PT	117	0.000605411967926	0.000647486218923	6816.88124471	0	0	21.297,-77.781	40.309,-8.058	0.740818181818	0.783181818182	11259905	10528226
1990	CU	CO	CU-CO	1296	0.00017783148081	0.000445506816084	2002.36557993	0	1	21.297,-77.781	3.9,-73.076	0.740818181818	0.677	11259905	4494579
1990	CU	VE	CU-VE	10589	0.000178728447207	7.53011109004e-05	2012.46533635	0	1	21.297,-77.781	7.125,-66.166	0.740818181818	0.704727272727	11259905	26725573
1990	CU	CA	CU-CA	1805	0.000435183557	0.000151845321469	4900.12550938	0	0	21.297,-77.781	59.081,-109.433	0.740818181818	0.895090909091	11259905	32270507
1990	CU	ZA	CU-ZA	835	0.00108411347066	0.000254638196497	12207.0146888	0	0	21.297,-77.781	-30.558,23.121	0.740818181818	0.612363636364	11259905	47938663
1990	CU	AR	CU-AR	1427	0.00057264270012	0.000166409729105	6447.90240229	0	1	21.297,-77.781	-35.377,-65.167	0.740818181818	0.771545454545	11259905	38747148
1990	CU	ES	CU-ES	22070	0.000638579311967	0.000165685670347	7190.34238771	0	1	21.297,-77.781	40.227,-3.649	0.740818181818	0.847454545455	11259905	43397491
1990	CU	US	CU-US	848178	0.000252341085888	9.47597233243e-06	2841.3366547	0	0	21.297,-77.781	39.622,-98.606	0.740818181818	0.915818181818	11259905	299846449
1990	CU	MX	CU-MX	3109	0.000227120778032	2.45271590885e-05	2557.35838417	0	1	21.297,-77.781	23.951,-102.535	0.740818181818	0.734181818182	11259905	104266392
1990	CO	DO	CO-DO	4697	0.000378642952303	0.000179716195215	1701.84066192	0	1	3.9,-73.076	19.015,-70.729	0.677	0.659636363636	4494579	9469601
1990	CO	FR	CO-FR	15050	0.00191477799043	0.000141105823641	8606.12094543	0	0	3.9,-73.076	46.565,2.55	0.677	0.86	4494579	60990544
1990	CO	DE	CO-DE	4218	0.00204397516138	0.000111149963976	9186.80783685	0	0	3.9,-73.076	51.11,9.851	0.677	0.882	4494579	82652369
1990	CO	HT	CO-HT	828	0.000377999379203	0.000182755474391	1698.94807178	0	0	3.9,-73.076	19.142,-72.278	0.677	0.425375	4494579	9296291
